Responden,J.Kelamin,T.Pendidikan,T.Pendapatan
1,1,1,4
2,1,3,6
3,1,2,4
4,1,2,5
5,1,4,4
6,1,4,1
7,1,3,3
8,0,4,3
9,1,1,5
10,1,2,5
11,1,2,2
12,1,3,5
13,0,4,5
14,1,4,4
15,1,3,3
16,1,3,4
17,0,4,4
18,1,1,6
19,1,2,3
20,0,4,3
21,1,1,6
22,1,1,2
23,1,3,3
24,1,1,5
25,1,2,3
26,1,2,3
27,0,2,5
28,1,3,2
29,1,1,6
30,1,4,2
31,1,2,3
32,1,1,4
33,1,3,2
34,1,1,6
35,1,3,1
36,1,2,4
37,1,1,3
38,1,4,1
39,1,4,5
40,0,4,1
41,1,4,6
42,1,2,4
43,0,2,2
44,1,1,1
45,1,2,4
46,0,4,3
47,0,2,3
48,1,4,5
49,1,1,5
50,1,1,1
